
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197710  -1.49  -1.46  -2.05  -1.52  -1.99  -1.45  -1.81  -0.85  -2.04  -2.88
197711  -1.09  -0.65  -1.58  -0.75  -1.55  -1.19  -1.80  -0.86  -1.50  -1.98
197712   0.47   2.06  -1.13   1.19  -0.60   1.70  -0.61   2.65  -1.77  -0.21
197801   0.24   2.42  -0.54   1.84  -1.02   1.38  -1.21   1.44   0.38   2.16
197802  -0.30   0.54  -0.70   1.19  -1.39   0.33  -0.72  -0.12  -0.63  -3.82
197803   4.98   5.34   4.65   5.44   4.78   5.76   4.45   5.82   4.53   5.47
197804   0.72   1.05   0.80   1.67  -0.05   1.40  -0.01   0.08   0.80   2.53
197805   2.33   4.29   1.19   1.91   2.71   4.47   1.46   3.12   1.59   8.76
197806   0.37  -1.41   0.73   0.28   0.81  -1.04   1.48   0.10   0.87  -1.72
197807   3.50   3.89   4.02   3.21   3.94   4.17   3.98   3.84   3.30   6.23
197808   1.80   1.60   2.40   1.82   2.25   1.17   2.16   1.34   2.49   6.73
197809   1.93   0.69   2.75   2.17   1.10   0.72   2.65   0.90   3.67   2.02
197810  -1.97  -0.83  -2.19  -2.49  -1.66  -2.14  -2.09  -0.80  -3.06  -1.83
197811   0.65   1.91  -0.25   0.62   1.38   2.16   0.19   0.99   0.90  -0.46
197812   1.66   3.15   0.61   2.02   1.11   2.96   0.12   2.63   1.13   3.56
197901   3.09   4.21   2.89   2.52   2.95   2.95   3.16   3.02   3.02   5.68
197902  -0.32  -0.37  -0.52  -0.66  -0.35  -1.74  -0.51  -1.08  -0.20  -1.06
197903   3.79   3.18   4.96   2.64   4.80   2.00   5.04   1.79   5.51   5.62
197904   2.22   2.87   2.59   3.17   1.25   1.68   1.66   0.72   2.83   1.17
197905  -1.54  -1.69  -1.62  -1.63  -0.77  -0.78  -2.68   0.09  -3.06  -0.12
197906   0.03   0.01  -0.90  -0.09  -0.10  -0.56  -0.67  -0.56  -0.42   5.01
197907  -0.41  -0.65   0.44  -0.60  -0.37  -0.68   0.35   0.00  -1.01   3.66
197908   3.82   4.05   3.53   4.01   3.96   4.63   3.62   3.74   4.17   2.39
197909   3.84   3.69   3.71   3.37   3.61   1.99   3.35   2.44   4.46   3.30
197910  -4.05  -4.37  -4.49  -4.18  -4.31  -5.48  -5.81  -4.14  -3.69   1.68
197911   1.19   0.20   1.16   0.88   1.23   0.09   1.02   0.60   0.65  -0.85
197912   1.90   1.97   1.58   2.58   1.50   2.47   1.56   2.47   1.23   2.22
198001   5.50   4.70   5.21   5.14   5.43   4.92   5.58   4.70   4.07  11.38
198002   2.96   0.59   4.74   1.47   3.82   1.92   2.96   1.59   3.33   8.07
198003  -8.50  -7.48  -9.16  -7.90  -9.33  -7.99  -8.55  -7.02  -8.53  -6.45
198004   3.75   3.53   4.15   2.85   4.37   2.25   3.59   3.89   5.02   2.33
198005   1.72   1.02   1.38   2.13   1.40   2.07   1.31   0.92   1.38  -1.48
198006   4.80   4.09   5.36   3.29   6.00   2.92   7.73   3.44   5.89   2.92
198007   2.26   2.42   2.16   2.53   3.14   2.41   2.49   2.82   1.74   3.63
198008   1.38   2.51   1.25   2.14   1.06   1.26   1.71   1.49   1.78  -6.03
198009   2.17   0.72   2.68   3.05   2.06   2.69   1.65   1.34   2.95  -1.20
198010   4.19   3.18   5.16   6.46   4.53   5.15   3.67   2.42   5.68   0.30
198011   0.44  -0.37   0.59   0.83   0.08   0.98   0.18  -0.09  -0.16  -0.53
198012  -2.10  -0.64  -3.20  -1.69  -1.78  -2.48  -2.49  -0.35  -2.95  -2.67
198101   1.16   1.99   0.75   0.37   1.81   0.56   0.78   1.21   1.33   9.96
198102   1.51   3.83   1.20   1.88   2.00   1.92   2.94   2.19   2.54  -1.54
198103   3.86   5.43   2.29   6.09   3.10   5.32   1.91   3.51   3.72   2.25
198104   5.43   9.75   2.74   9.13   3.24   8.48   4.25   7.46   4.31  -3.31
198105  -0.29  -0.12   0.85   1.13  -0.35   0.02   0.21  -1.03   0.92  -2.11
198106   2.52   4.46   0.88   2.74   2.22   3.06   1.73   2.04   1.11   1.67
198107  -0.03   0.54  -0.59   2.30  -1.67   1.47  -1.84  -0.27  -0.10  -3.94
198108   0.40  -0.49   0.58  -0.83   0.71   0.40   0.34   1.78  -0.53   1.31
198109 -10.48 -10.58 -10.48 -11.92  -8.48 -11.36 -10.93  -7.36 -11.33  -7.16
198110   0.22  -0.21   1.52   0.18   0.63   0.08   0.17  -0.95   1.83  -1.09
198111   5.46   4.80   5.07   3.48   6.28   3.90   6.18   5.85   5.51   3.43
198112   0.87   0.96   0.08   1.80   1.15   2.23   0.26   0.96   1.21  -0.20
198201   0.67   1.74   0.82  -0.10   0.71   0.33   0.72  -0.22   1.27  -0.08
198202  -3.49  -0.80  -4.12  -2.67  -3.74  -2.90  -4.60  -2.18  -4.32  -6.15
198203  -1.64  -2.83  -1.83  -3.30  -1.16  -0.61  -2.53  -0.82  -2.94   4.27
198204   1.95   1.58   2.16   2.50   2.00   1.82   2.25   1.31   2.88  -0.98
198205   0.51  -0.17   1.19  -0.64   0.93  -1.07   1.57  -1.40   1.93  -1.31
198206  -4.10  -4.75  -3.35  -4.53  -3.67  -5.51  -2.90  -4.92  -3.33  -7.37
198207   0.00  -0.24   0.12  -0.70   0.16  -1.32  -0.48  -0.90  -0.02   3.34
198208   2.36   1.71   2.36   2.41   2.44   3.01   2.09   1.95   2.81   1.97
198209   1.04  -0.26   2.69   0.03   1.89  -0.91   3.34  -0.78   2.58  -4.86
198210   3.10   4.11   2.32   5.31   1.83   5.37   1.93   4.36   2.93   3.72
198211   3.64   3.08   3.82   4.10   3.22   3.82   4.56   3.61   4.50   2.49
198212   3.62   4.33   2.43   5.21   2.46   5.26   2.31   4.85   3.06   3.70
198301   1.87   5.15   1.03   0.70   2.43   3.61   0.52   4.00   0.92  16.17
198302   2.53   4.93   1.86   2.66   2.30   4.72   1.69   4.76   1.70   6.94
198303   5.07   4.51   3.68   6.65   4.38   4.61   5.20   4.93   4.85   3.30
198304   4.96   3.84   4.88   5.33   5.13   3.90   4.97   4.81   4.74   7.47
198305   0.19   0.42   1.21  -1.02   0.88  -0.54   2.25  -1.49   1.40   0.51
198306   3.16   2.41   2.81   3.90   2.62   4.15   1.73   2.99   2.79   1.05
198307   1.81   1.37   2.34   1.54   2.35   0.82   1.51   0.06   2.78   1.25
198308   0.42   0.18   0.25   0.22   0.59   1.26   1.55   1.40  -0.16   2.46
198309   1.03   1.14   0.39   1.99   0.10   2.66  -1.28   1.45   0.72   1.13
198310  -0.94  -0.24  -1.01  -0.38  -1.53  -0.10  -1.47  -0.76  -1.21  -3.83
198311   3.34   4.34   3.71   2.52   2.83   2.78   3.24   2.43   4.10   2.36
198312   4.00   5.20   2.67   5.23   2.53   5.92   2.49   5.42   2.58   2.86
198401   5.84   6.55   3.80   7.49   2.72   6.96   2.97   7.38   2.47   7.62
198402  -1.89  -2.10  -2.32  -1.98  -2.88  -3.05  -2.74  -1.27  -3.12  -4.77
198403   7.17   5.83   6.05   5.20   6.05   4.60   5.62   6.39   5.48   2.68
198404   0.21  -0.44  -0.89   1.00  -0.11  -0.16  -1.13   1.22  -1.32   0.00
198405  -8.49  -8.00  -9.30  -7.96  -8.65  -7.38  -8.04  -6.83  -9.73  -5.63
198406   1.54   0.93   2.64   1.09   2.64   0.73   1.72   0.64   2.29   2.65
198407  -3.23  -2.58  -3.65  -2.86  -2.97  -2.70  -3.00  -2.47  -2.98  -6.46
198408   8.24   6.47   9.70   7.76   9.35   8.62   9.93   5.50  10.63   6.81
198409   2.04   0.24   3.64   1.55   2.29   1.48   2.51   0.73   2.76  -0.28
198410   2.06   2.62   1.49   2.42   2.17   0.53   1.94   2.21   0.71   1.28
198411   1.36   2.30  -0.31   1.96  -0.52   0.62  -0.85   3.09  -2.21  -2.83
198412   4.04   7.91   1.64   6.28   1.67   6.52   2.01   7.42   1.84   1.27
198501   4.21   5.36   3.82   4.25   4.07   3.16   4.52   2.29   4.44   9.76
198502   2.95   0.80   4.60   1.20   5.02   1.56  -0.57   0.45   4.34   5.35
198503   1.97   0.38   2.60  -0.27   2.51   1.35   0.84   3.01   0.53  13.97
198504  -0.40   0.64  -1.07   0.85  -1.51  -0.26   0.19   0.32  -1.04   2.38
198505   3.99   2.49   4.95   2.84   4.40   4.38   1.60   6.54   2.76   7.13
198506   0.79   1.59   0.53   1.21   0.96   1.22  -2.16   1.19   0.21   1.00
198507  -0.99   0.00  -0.53  -2.59  -0.62  -1.17  -1.30   0.86  -1.93  -2.26
198508   3.69   4.78   2.80   4.37   2.63   5.22   4.71   5.55   2.25   1.24
198509  -0.30   0.37  -2.16   1.72  -2.07   3.36  -1.10   5.47  -2.80  -2.45
198510   3.80   2.96   4.74   3.42   3.72   0.89   5.66  -0.65   6.26   3.84
198511   1.00   1.17   1.31   0.43   0.67   0.36   1.16  -0.34   1.26  -1.41
198512   4.08   3.40   3.58   4.75   4.01   6.37   3.85   3.43   4.40   7.07
198601  -0.14   1.50  -1.01   1.26  -0.30   0.63   2.08   0.16  -0.05   2.18
198602   4.36   2.91   4.18   2.12   4.10   2.83   3.33   6.79   3.34   5.49
198603  14.36  12.08  15.41  11.72  14.84  12.81  13.72  13.59  13.98  13.19
198604   0.55   3.29  -0.67   4.85  -1.79   2.62   1.09  -0.46  -0.54   0.12
198605   0.66  -1.10   1.77  -1.35   1.81  -1.85   2.38   0.15   1.46   5.03
198606   1.19   0.61   1.02   0.77   0.15   0.72   0.66   3.32   0.01   2.58
198607   2.12  -3.30   4.46  -2.27   2.69   3.70   0.43   7.97   1.77   2.13
198608   8.97  12.63   8.74  10.60   7.90  11.20   4.79   8.24   7.53   0.01
198609  -0.92   1.11  -1.20   0.34  -3.88   4.82  -2.33   2.81  -3.11  -8.47
198610  -2.48  -2.22  -2.67  -0.37  -1.48  -2.47  -1.34  -5.81   0.00  -1.28
198611   3.40   1.71   3.66   1.35   4.33   0.74   5.26   2.78   3.99   4.23
198612   3.85   3.99   4.59   3.86   4.68   4.09   4.58   3.67   4.72  -0.79
198701   7.63   0.22  11.56  -0.39   8.42   0.52   0.56   3.24  10.90   3.18
198702   2.06   2.21   2.68   0.97   1.83   2.59   5.33   3.22   1.89   9.66
198703   4.68   1.59   5.74   0.60   6.10   0.00   2.93   3.32   5.90   5.96
198704   7.39   5.05   8.27   4.33   7.04   5.60   2.73   5.56   8.36  11.39
198705   1.75   6.02  -0.23   4.80   1.40   2.63   5.39   2.08   0.29   1.07
198706  -1.87   5.95  -4.53   4.74  -2.42   4.07  -1.51   1.38  -4.17  -4.34
198707   2.03   5.17   1.14   4.90   1.13   2.60   3.40   1.31   1.84   2.44
198708   3.25   0.44   4.45   1.27   2.98   1.08   1.90   4.02   3.82   8.22
198709   0.35   6.76  -1.90   5.69  -0.97   6.28  -0.03   2.74  -1.64   4.37
198710 -18.84 -20.64 -18.88 -19.90 -18.51 -19.60 -20.75 -15.61 -20.41 -12.68
198711  -3.62  -3.04  -3.71  -2.93  -3.86  -3.76  -3.32  -3.63  -3.36  -3.50
198712  -3.03  -0.32  -4.47  -0.39  -3.11  -2.26  -1.76  -2.31  -3.85 -10.81
198801   6.72   5.06   6.89   6.72   5.55   4.78   4.36   5.76   6.52   8.80
198802   6.96   8.28   6.13   9.65   5.19   8.37   4.52   9.17   5.55   6.73
198803   2.53   4.44   1.98   3.27   2.40   3.84   1.87   2.83   1.71   9.54
198804   1.96   3.45   1.18   1.95   2.39   3.68   2.76   2.76   1.19  -1.16
198805  -2.28  -1.65  -2.90  -3.00  -2.24  -2.69  -2.67  -0.75  -3.66   7.99
198806   3.73   6.66   2.21   4.77   2.63   6.55   0.79   8.03   2.27   9.53
198807   2.49   6.76   1.45   5.13   1.60   8.74   1.40   3.43   1.45   1.35
198808  -4.15  -5.91  -3.75  -5.52  -3.21  -6.94  -3.10  -4.99  -3.89  -6.39
198809   2.16   2.49   0.87   1.91   0.70   2.60  -1.06   4.55  -0.31   8.08
198810   0.99   0.12   0.70   1.94  -0.94   0.13  -3.79   3.14  -0.19   5.67
198811   2.86   2.67   2.36   2.88   2.07   2.50   0.53   2.62   2.86   6.02
198812   3.01   5.47   2.86   5.58   2.45   5.59   0.77   4.00   3.09  -1.55
198901   5.34   6.40   4.21   6.26   4.74   6.22   5.72   7.75   3.20   8.21
198902  -1.35  -1.38  -1.74  -1.14  -1.30  -3.03  -0.54  -0.77  -2.89   5.08
198903   1.63   3.40   1.06   1.46   1.11  -0.56   3.37   1.12   0.60   6.49
198904   1.30   2.65   0.51   1.30   1.40   2.06   1.34   2.96   0.07   5.23
198905   1.42   4.15   0.34   3.59  -0.16   4.96   0.40   2.41   1.37   3.35
198906  -1.32  -0.50  -1.45  -0.82  -1.55  -1.28  -1.83  -1.68  -0.31  -4.16
198907   6.94   4.75   7.95   6.05   8.16   5.34   7.37   5.95   7.95   3.25
198908   0.53   1.93   0.50   1.64  -0.72  -0.16   0.09  -0.93   1.34  -4.00
198909   1.20   2.01   0.68   1.28   1.73   0.19   2.12   1.26   0.65   0.94
198910  -2.82  -2.45  -2.87  -2.49  -3.05  -2.18  -0.65  -2.09  -4.19  -2.72
198911   4.49   2.30   5.29   3.56   5.74   3.66   3.44   4.41   4.43   6.91
198912   2.89   3.33   2.23   2.30   2.42   2.25   1.61   2.36   3.32   3.00
199001  -4.00  -2.16  -5.13  -2.58  -5.14  -2.87  -4.56  -3.19  -4.95  -4.44
199002  -4.89  -4.11  -5.25  -4.38  -5.10  -3.65  -4.43  -4.02  -5.62  -2.78
199003  -6.29  -4.42  -7.72  -3.69  -7.09  -3.93  -8.78  -6.52  -5.12  -8.33
199004  -1.85  -1.50  -1.61  -1.38  -2.72  -1.53  -0.52  -0.59  -3.53  -0.81
199005   8.77   7.26  10.01   7.64  10.60   6.55  10.63   8.35   9.60  11.35
199006  -1.96  -0.79  -2.50  -1.23  -2.28  -1.25  -1.86  -2.38  -1.00  -7.01
199007  -2.20  -2.16  -1.99  -2.79  -1.84  -3.63  -1.76  -2.19  -2.02  -1.39
199008 -11.00 -11.78 -10.72 -12.02 -11.65 -10.63 -11.58 -10.08 -10.53 -15.25
199009 -15.12 -14.71 -16.35 -15.52 -15.39 -14.41 -15.01 -15.15 -16.17 -18.89
199010  10.56   7.88  11.11   7.77  13.50   9.05  13.02   8.94   9.74  18.14
199011  -5.00  -4.94  -5.94  -3.92  -7.61  -5.42  -7.31  -5.77  -4.06 -12.59
199012   2.80   1.41   3.69   1.95   3.50   2.87   1.81   2.65   3.47   4.87
199101   0.64   0.74   0.54   0.53  -0.63   0.78  -0.44   0.92   0.82   2.07
199102  12.11  15.57  10.08  15.98  11.60  13.61  13.16  15.07   8.72  19.19
199103   1.69   1.26   1.96   1.50   1.62   1.28   1.08   0.98   2.76  -0.36
199104   0.24  -0.05   0.03  -0.21  -0.63  -0.90  -0.25  -0.16   0.72  -1.07
199105   1.29   0.65   1.05   0.49   0.59   0.81   0.51   1.34   1.18   2.52
199106  -5.24  -5.45  -5.51  -4.60  -5.55  -3.87  -5.22  -5.28  -5.11  -7.76
199107   3.10   3.79   2.47   3.39   2.18   2.93   2.75   3.24   2.33   3.45
199108  -2.18  -2.81  -1.89  -2.60  -2.72  -1.96  -3.74  -2.35  -2.17  -2.31
199109   1.68   2.12   1.16   1.88   1.67   0.47   4.70   2.60   0.36   3.57
199110   1.40   0.05   2.88   0.03   2.13  -0.08   1.77  -0.43   3.81  -0.35
199111  -5.51  -7.22  -5.24  -6.80  -4.51  -5.40  -6.77  -6.56  -4.59  -7.52
199112   0.33  -0.10   0.78  -0.16   0.82  -0.36   1.66   0.63   0.42   0.58
199201   0.30   3.14  -0.67   2.63  -1.19   1.84   1.14   1.54  -0.64  -0.17
199202  -1.20  -1.22  -1.54  -0.46  -2.15   0.03   0.25  -1.06  -2.02  -0.72
199203  -5.17  -4.74  -5.75  -4.16  -6.21  -4.04  -4.90  -4.75  -6.07  -6.63
199204   0.03   4.56  -2.57   3.38  -2.81   4.15  -0.61   2.98  -2.99  -1.70
199205   3.06   2.70   3.47   2.78   3.66   2.69   3.03   2.85   3.56   6.25
199206  -7.11  -7.23  -7.31  -6.22  -8.11  -6.96  -6.80  -7.79  -7.11  -8.54
199207  -3.26  -5.81  -1.99  -4.75  -1.38  -4.06  -4.21  -4.15  -1.80  -3.89
199208   2.67  -0.24   4.90   0.90   5.05   0.06   2.76   0.93   5.07   4.12
199209  -0.61  -0.37  -0.59  -2.29  -0.31  -2.37  -0.71  -0.24  -1.35  -1.29
199210   0.85   1.46   1.36   1.79   0.84   0.45   0.57   1.14   1.66  -3.79
199211   3.55   3.37   4.04   3.43   3.54   2.88   3.42   2.93   4.08   3.21
199212   1.12   1.72   0.79   1.45   0.49   2.26  -0.10   1.55   0.71  -0.80
199301   0.44   2.86  -0.30   1.99  -0.12   1.86  -0.63   2.42  -0.76   4.47
199302   2.62   2.58   2.08   2.82   2.35   3.54   0.96   3.10   2.22   1.08
199303   6.29   9.40   3.98   7.05   3.98  10.68   4.32   8.10   2.58   6.52
199304   5.83   7.72   4.33   5.93   5.07   5.99   4.45   7.52   4.39   8.14
199305   1.05   0.71   2.10   0.17   2.60  -0.50   0.45   0.41   2.67   3.43
199306  -0.45  -0.94   0.15  -1.33   0.29  -1.36  -1.68  -0.45   0.45  -2.48
199307   4.29   5.30   3.88   5.14   4.07   5.64   3.35   4.80   4.17   1.32
199308   4.37   5.13   4.24   4.61   4.24   4.18   4.62   3.79   4.45   4.39
199309  -2.97  -2.62  -3.10  -1.66  -3.17  -3.03  -0.83  -3.03  -2.79  -6.91
199310   4.65   4.68   4.99   4.56   5.44   5.44   2.88   4.82   5.20  -0.34
199311  -7.63  -6.84  -8.56  -6.19  -8.93  -6.06  -6.83  -6.31  -8.50  -7.35
199312   7.74   9.83   6.44   8.68   7.40   9.23   6.51   7.23   7.71  11.01
199401   7.83  10.26   7.13   6.76   8.77   9.63   7.87   7.54   7.84  13.13
199402  -2.66  -1.58  -3.20  -2.81  -2.85  -1.45  -2.59  -2.87  -2.92  -2.36
199403  -4.65  -3.58  -5.12  -4.86  -5.18  -3.46  -3.21  -3.94  -5.33  -0.73
199404   2.46   3.06   2.30   1.14   3.08   2.10   1.91   2.62   1.93   3.20
199405   0.81   1.73  -0.06   0.59   0.45   0.50   0.09   0.85   0.51   0.68
199406  -2.60  -2.03  -3.05  -1.88  -3.16  -1.97  -2.18  -1.97  -3.13  -0.62
199407   1.65   1.23   1.72   2.42   1.82   1.51   2.26   1.54   1.59   0.89
199408   2.01   2.09   2.07   1.64   1.78   3.47   2.40   1.86   1.69   1.58
199409  -4.57  -4.32  -4.53  -4.31  -4.73  -4.55  -3.67  -3.93  -4.30  -4.43
199410   1.15   1.46   0.76   0.43   1.19   1.73   0.18   1.27   0.86   1.04
199411  -2.42  -2.86  -2.17  -1.74  -2.72  -3.19  -1.57  -2.37  -2.52  -3.64
199412   1.14   0.73   1.83   1.08   1.56   1.26   0.38   0.48   1.78   0.48
199501  -4.53  -4.33  -4.31  -3.81  -4.56  -5.35  -4.74  -3.82  -4.25  -4.83
199502  -2.39  -2.50  -2.08  -1.45  -2.99  -1.28  -2.79  -1.89  -2.39  -4.00
199503  -1.18  -1.12  -0.44  -0.61  -1.02  -0.41  -0.57  -0.71  -1.35  -4.65
199504   2.99   1.80   3.60   2.45   3.98   2.30   2.64   2.16   4.05   1.40
199505  -0.22   0.15  -0.49   0.84  -0.27  -0.10  -0.55   0.28   0.45  -3.15
199506  -2.02  -1.61  -1.88  -0.76  -2.72  -0.54  -0.71  -1.53  -2.77  -4.02
199507   7.24   6.93   7.32   6.09   8.63   6.41   7.04   4.82   9.35   8.69
199508   2.97   2.97   2.96   3.45   2.47   4.34   4.34   2.54   2.20   4.66
199509   0.80   0.11   0.99   1.73   0.60   0.88   0.14   1.25   1.17  -0.19
199510  -1.30  -1.17  -1.09   0.56  -2.20  -2.41  -1.07  -0.04  -2.26  -4.54
199511   3.74   3.93   3.70   2.87   4.66   1.77   3.07   2.45   4.37   3.57
199512   3.78   4.41   3.53   3.34   4.20   3.19   2.66   3.29   3.45   3.13
199601   3.58   4.85   3.17   4.93   2.57   5.03   4.04   4.22   3.02   3.13
199602  -0.92  -0.22  -1.02   0.16  -1.53   0.44   0.06  -0.37  -1.21   0.00
199603   2.59   2.18   2.83   2.11   3.53   0.70   3.48   1.21   3.48   2.68
199604   3.60   4.12   3.10   3.18   2.79   4.65   4.04   4.11   3.06   5.40
199605  -0.71  -1.17  -0.43  -0.55  -0.75  -1.60  -0.33  -1.28  -1.02  -0.48
199606   0.98   0.70   1.10   1.17   0.64   0.85   0.62   0.39   1.06  -1.09
199607  -4.83  -4.73  -5.08  -4.08  -5.66  -5.33  -4.96  -3.66  -5.53  -6.43
199608   1.03   1.30   1.12   1.00   1.62   1.43   0.62   0.41   1.72  -0.22
199609   4.48   4.09   4.31   4.98   4.29   4.07   4.68   3.68   3.98   0.81
199610  -0.97  -1.37  -1.27  -1.04  -1.02  -1.53  -1.67  -0.59  -1.24  -1.31
199611   3.99   5.80   3.19   4.99   2.64   5.36   2.47   4.25   3.08   0.77
199612  -0.50   0.10  -1.19   0.76  -2.07   2.02  -1.36   0.59  -1.64  -2.62
199701   1.61   1.94   1.07   3.85   0.46   4.27   1.95   2.24   0.74   3.69
199702   2.28   2.62   2.12   3.44   2.00   1.89   1.71   2.29   2.76   1.13
199703   0.37  -0.47   0.23   0.15  -0.76   1.35   0.45   0.57  -0.13   0.01
199704   3.09   1.27   3.86   3.77   2.37   3.73   3.74   1.67   3.67   2.08
199705   3.70   4.41   3.71   2.69   4.26   3.07   3.56   3.28   3.60   5.01
199706   5.05   3.77   5.59   3.89   5.17   6.75   4.55   3.77   5.60   2.91
199707   5.36   5.91   5.84   7.31   4.57   4.64   5.39   4.84   6.24   3.83
199708  -6.83  -5.21  -6.91  -6.58  -6.69  -5.78  -7.70  -5.11  -7.58  -6.31
199709   4.76   3.50   5.43   5.15   3.72   2.50   5.79   3.56   5.37   0.20
199710  -8.61  -6.85  -9.88  -8.25  -9.51  -7.41  -8.27  -5.02 -10.12  -5.97
199711   1.46  -1.58   2.46   1.31   2.72   0.83   2.76   0.79   2.92  -4.31
199712   2.72   2.54   2.95   2.22   2.79   0.74   2.98   2.76   2.78  -2.30
199801   4.71  11.10   4.30   5.48   4.91   6.65   3.61   6.78   4.52  11.22
199802   5.76   9.12   5.16   8.06   6.09   5.77   4.45   6.88   5.15  11.49
199803   5.17   5.44   4.13   6.64   3.21   7.84   5.74   6.36   5.03   4.38
199804  -0.68  -0.48  -0.17  -1.82  -0.47  -0.62  -0.35  -1.28  -0.70   1.08
199805   1.58   1.26   1.76   0.28   1.65   2.21   2.06   1.59   1.57   2.24
199806   0.51  -1.72   1.08  -0.62   1.49   0.38   1.69  -0.08   1.47   3.67
199807   1.17   0.49   1.36  -0.20   1.13   1.78   0.69   1.57   1.81   3.51
199808 -13.29 -14.92 -12.07 -15.11 -11.67 -13.90 -10.92 -12.93 -12.64 -15.15
199809  -5.84  -6.60  -5.13  -6.91  -5.11  -4.72  -4.30  -7.24  -6.25 -10.69
199810   6.43   5.24   6.51   6.67   6.94   3.88   5.47   7.00   6.70   6.39
199811   7.64   7.46   7.39   8.26   6.61   6.58   6.65   6.34   8.21  10.03
199812   1.03  -0.28   2.08  -1.22   2.25   1.43   3.30   0.38   2.57   2.21
199901   2.47   0.75   2.72   1.53   3.10   0.46   2.64  -0.25   2.07  12.17
199902   0.27   1.95  -0.49   1.51  -0.29   4.03  -0.34   1.62  -0.86  -2.18
199903   4.59   8.70   2.89   6.08   3.63   6.93   1.70   7.62   2.74   3.84
199904   5.68  11.12   3.11   9.01   4.33  11.96   2.79  10.22   3.25   6.39
199905  -3.55  -4.54  -3.14  -2.56  -3.14  -3.41  -1.06  -3.50  -3.43  -0.83
199906   4.82   7.73   4.54   5.23   4.99   7.50   4.65   4.35   5.10   8.18
199907  -0.28   1.67  -0.57   1.25  -0.91   3.68  -0.50   2.27  -1.04   1.01
199908   0.86   2.47   0.22   0.34   0.18  -0.98   1.38   0.89   0.23   0.19
199909  -0.59  -0.35   0.17  -2.30   0.30  -0.84   0.30  -1.96   0.49   1.66
199910   4.17   0.51   4.87  -0.38   5.83   1.02   3.82  -0.28   5.99   2.78
199911   6.66  -0.22   8.10   1.95  10.43   3.86  10.36  -0.26   8.32   9.06
199912   9.02   4.32   9.87   9.49   8.29   7.58   9.86   2.48  10.89   6.11
200001  -3.81  -3.62  -4.18  -2.92  -4.30  -2.21  -2.96  -4.60  -3.50   2.45
200002   4.98  -5.60   7.72   0.76   8.76  -1.61  10.66  -2.46   7.98   7.19
200003   1.90   6.84   0.92   3.55  -0.31   4.73  -1.57   4.20   0.78  -4.48
200004  -1.43   1.87  -2.37   1.66  -2.57   1.60  -2.93   2.09  -2.71  -2.66
200005  -2.92   3.11  -5.23   1.51  -6.26   1.29  -6.66   3.26  -5.77  -5.95
200006   1.85   4.01   1.52   3.15   1.33   2.92   0.99   3.86   1.78   5.18
200007  -1.19  -0.59  -2.04   1.13  -1.11   0.12  -1.97  -0.01  -1.86  -4.20
200008   3.44   3.02   3.46   0.86   3.71   1.11   3.79   2.87   3.62   4.84
200009  -4.22  -1.77  -5.59  -0.88  -5.09  -1.26  -6.29  -1.29  -5.97  -5.84
200010  -0.45   1.94  -1.72   1.82  -2.35   1.98  -2.78   3.32  -2.40  -1.13
200011  -3.53   2.73  -4.93   0.70  -5.13   2.37  -6.49   2.42  -6.08 -12.45
200012  -1.07   0.84  -2.70   1.76  -3.57   1.31  -3.89   2.32  -2.86   0.34
200101   1.89   4.16   1.40   4.14   1.30   4.17   1.59   4.19   0.52   9.36
200102  -6.62  -2.09  -8.09  -1.59  -9.40  -0.88  -9.92  -1.28  -8.86 -12.77
200103  -3.43  -3.66  -4.32  -1.89  -4.76  -3.53  -4.81  -2.61  -4.86 -10.60
200104   6.56   7.59   7.56   5.81   7.46   6.55   7.83   6.33   6.03  11.65
200105  -1.90  -2.04  -2.29   0.48  -3.65   0.21  -2.90  -0.48  -2.34  -5.23
200106  -2.65  -2.70  -3.24   0.05  -3.48  -3.08  -4.45   0.10  -3.47  -8.76
200107  -3.84  -2.94  -4.39  -2.78  -4.28  -2.24  -4.33  -1.95  -4.17  -6.93
200108  -5.60  -4.03  -7.25  -2.47  -7.44  -3.88  -8.95  -2.09  -7.60  -9.30
200109 -10.21 -13.08  -8.60 -13.85  -8.28 -14.33  -6.81 -10.84  -9.58 -20.53
200110   4.14   4.81   4.36   4.90   4.14   5.43   4.79   3.49   4.59  17.92
200111   4.36   6.02   4.76   5.53   4.41   6.50   6.20   3.86   5.87   7.83
200112   1.63   0.75   1.32   2.76   0.99   2.14   0.84   1.50   1.26  -1.89
200201  -2.20  -3.40  -1.99   0.47  -4.14  -1.17  -3.95   0.27  -3.36  -3.99
200202   0.40  -0.66   1.32   1.66  -0.36   2.07   0.02   0.73  -0.19  -1.61
200203   4.71   4.97   3.86   7.15   4.26   6.25   3.37   5.68   3.93   6.69
200204  -2.01  -3.15  -2.37   0.21  -3.53  -1.71  -4.28   0.27  -3.02  -7.62
200205  -1.16   0.76  -2.65  -0.41  -2.86   0.51  -3.62   0.56  -2.65  -1.87
200206  -8.00  -9.45  -6.80  -8.23  -8.23  -8.47  -8.17  -7.73  -7.78 -13.93
200207  -9.07  -8.30  -9.45  -9.45  -9.52  -7.71  -8.81  -8.78  -9.66  -9.44
