
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007   0.13   0.28   0.02   0.38   0.99   0.26   0.33   0.67  -0.38   1.42
198008   2.98   4.11   2.86   3.75   2.67   2.88   3.33   3.10   3.41  -4.59
198009   2.80   1.37   3.32   3.70   2.70   3.35   2.29   1.98   3.60  -0.48
198010   3.46   2.44   4.44   5.73   3.79   4.50   2.95   1.69   4.95  -0.32
198011  -1.60  -2.37  -1.47  -1.21  -1.96  -1.07  -1.87  -2.09  -2.20  -2.59
198012  -0.08   1.41  -1.21   0.33   0.24  -0.40  -0.48   1.71  -0.98  -0.53
198101  -1.16  -0.33  -1.57  -1.92  -0.53  -1.69  -1.50  -1.13  -1.01   7.69
198102  -1.38   0.85  -1.68  -1.00  -0.90  -0.99   0.01  -0.73  -0.36  -4.43
198103   4.27   5.85   2.70   6.47   3.54   5.73   2.35   3.92   4.13   2.67
198104   2.30   6.49  -0.32   5.93   0.15   5.29   1.15   4.25   1.22  -6.03
198105  -3.63  -3.46  -2.50  -2.28  -3.66  -3.33  -3.13  -4.36  -2.45  -5.56
198106   0.70   2.60  -0.89   0.95   0.38   1.34  -0.09   0.23  -0.70   0.73
198107  -4.30  -3.75  -4.81  -2.07  -5.87  -2.88  -6.02  -4.54  -4.36  -8.13
198108   2.74   1.82   2.91   1.47   3.03   2.76   2.65   4.19   1.74   4.80
198109 -10.83 -10.92 -10.83 -12.24  -8.87 -11.71 -11.31  -7.74 -11.69  -7.26
198110   1.09   0.63   2.40   1.04   1.48   0.94   1.01  -0.10   2.69  -0.70
198111  11.52  10.82  11.11   9.37  12.43   9.85  12.33  11.95  11.58   9.48
198112  -1.43  -1.36  -2.22  -0.52  -1.17  -0.09  -2.05  -1.35  -1.11  -2.50
198201  -2.30  -1.24  -2.15  -3.06  -2.26  -2.63  -2.26  -3.15  -1.73  -3.11
198202  -6.37  -3.76  -6.98  -5.59  -6.62  -5.81  -7.45  -5.11  -7.18  -9.03
198203  -4.05  -5.22  -4.24  -5.66  -3.59  -3.04  -4.92  -3.26  -5.30   1.47
198204   4.59   4.24   4.80   5.15   4.63   4.43   4.89   3.92   5.55   1.55
198205  -1.09  -1.76  -0.42  -2.23  -0.67  -2.64  -0.04  -2.96   0.31  -3.01
198206  -8.02  -8.65  -7.29  -8.45  -7.62  -9.38  -6.87  -8.81  -7.28 -11.27
198207  -0.35  -0.59  -0.23  -1.05  -0.20  -1.67  -0.83  -1.26  -0.37   2.89
198208   1.04   0.39   1.05   1.11   1.12   1.68   0.78   0.62   1.50   0.65
198209  -0.90  -2.18   0.74  -1.88  -0.05  -2.81   1.36  -2.67   0.62  -6.63
198210   0.96   1.97   0.19   3.15  -0.31   3.20  -0.21   2.22   0.77   1.60
198211   7.14   6.56   7.29   7.70   6.65   7.49   8.13   7.15   8.05   6.06
198212   8.16   8.94   6.92   9.84   6.94   9.94   6.77   9.45   7.58   8.42
198301  -0.24   2.95  -1.03  -1.43   0.33   1.44  -1.53   1.82  -1.14  13.91
198302   2.89   5.30   2.21   3.02   2.66   5.09   2.04   5.13   2.04   7.27
198303   2.87   2.30   1.51   4.43   2.19   2.39   2.99   2.74   2.65   1.09
198304   6.25   5.13   6.16   6.62   6.41   5.22   6.24   6.14   6.03   8.90
198305   0.00   0.24   1.03  -1.20   0.70  -0.72   2.06  -1.67   1.21   0.33
198306   1.64   0.89   1.32   2.33   1.13   2.56   0.26   1.43   1.31  -0.38
198307   0.50   0.06   1.02   0.23   1.05  -0.49   0.20  -1.24   1.46  -0.05
198308  -1.40  -1.62  -1.56  -1.58  -1.22  -0.56  -0.29  -0.43  -1.96   0.63
198309   3.39   3.50   2.73   4.38   2.44   5.06   1.01   3.80   3.08   3.61
198310  -0.32   0.39  -0.39   0.26  -0.92   0.52  -0.84  -0.14  -0.59  -3.28
198311   2.26   3.25   2.63   1.45   1.76   1.71   2.18   1.36   3.01   1.22
